case_id,logical_event_id,timestamp,timestamp_confidence,logical_event_type,action,process_id,process,parent_process_ids,evidence_ids,source_observation_count,provenance,temporal_sequence,previous_timestamp,time_since_previous_event_seconds
M57-Jean,LEVT-M57-Jean-PROCESS-2028-20091121013242,2009-11-21 01:32:42+00:00,observed,process_start,process_start,2028,AVGIDSAgent.exe,976,M57-Jean-MEM-PSLIST-15;M57-Jean-MEM-PSTREE-19,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,15,2009-11-21 01:32:42+00:00,0.0
M57-Jean,LEVT-M57-Jean-PROCESS-1572-20091121013258,2009-11-21 01:32:58+00:00,observed,process_start,process_start,1572,svchost.exe,976,M57-Jean-MEM-PSLIST-16;M57-Jean-MEM-PSTREE-15,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,16,2009-11-21 01:32:42+00:00,16.0
M57-Jean,LEVT-M57-Jean-PROCESS-1664-20091121013258,2009-11-21 01:32:58+00:00,observed,process_start,process_start,1664,avgwdsvc.exe,976,M57-Jean-MEM-PSLIST-17;M57-Jean-MEM-PSTREE-6,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,17,2009-11-21 01:32:58+00:00,0.0
M57-Jean,LEVT-M57-Jean-PROCESS-344-20091121013301,2009-11-21 01:33:01+00:00,observed,process_start,process_start,344,jqs.exe,976,M57-Jean-MEM-PSLIST-19;M57-Jean-MEM-PSTREE-13,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,18,2009-11-21 01:32:58+00:00,3.0
M57-Jean,LEVT-M57-Jean-PROCESS-1796-20091121013301,2009-11-21 01:33:01+00:00,observed,process_start,process_start,1796,avgfws9.exe,976,M57-Jean-MEM-PSLIST-18;M57-Jean-MEM-PSTREE-16,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,19,2009-11-21 01:33:01+00:00,0.0
M57-Jean,LEVT-M57-Jean-PROCESS-1944-20091121013301,2009-11-21 01:33:01+00:00,observed,process_start,process_start,1944,explorer.exe,1972,M57-Jean-MEM-PSLIST-20;M57-Jean-MEM-PSTREE-29,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,20,2009-11-21 01:33:01+00:00,0.0
M57-Jean,LEVT-M57-Jean-PROCESS-1504-20091121013305,2009-11-21 01:33:05+00:00,observed,process_start,process_start,1504,hkcmd.exe,1944,M57-Jean-MEM-PSLIST-21;M57-Jean-MEM-PSTREE-30,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,21,2009-11-21 01:33:01+00:00,4.0
M57-Jean,LEVT-M57-Jean-PROCESS-1508-20091121013305,2009-11-21 01:33:05+00:00,observed,process_start,process_start,1508,avgtray.exe,1944,M57-Jean-MEM-PSLIST-22;M57-Jean-MEM-PSTREE-34,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,22,2009-11-21 01:33:05+00:00,0.0
M57-Jean,LEVT-M57-Jean-PROCESS-1528-20091121013305,2009-11-21 01:33:05+00:00,observed,process_start,process_start,1528,jusched.exe,1944,M57-Jean-MEM-PSLIST-23;M57-Jean-MEM-PSTREE-42,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,23,2009-11-21 01:33:05+00:00,0.0
M57-Jean,LEVT-M57-Jean-PROCESS-1676-20091121013306,2009-11-21 01:33:06+00:00,observed,process_start,process_start,1676,ctfmon.exe,1944,M57-Jean-MEM-PSLIST-24;M57-Jean-MEM-PSTREE-36,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,24,2009-11-21 01:33:05+00:00,1.0
