timeline_sequence,case_id,event_id,timestamp,timestamp_end,timestamp_confidence,source,artifact_type,event_type,action,user,host,process,parent_process,process_id,parent_process_id,command_line,file,file_path,file_hash,device,ip_src,ip_dst,port_src,port_dst,protocol,parent_event_id,related_event_id,relationship,evidence_id,provenance
23,M57-Jean,EVT-M57-Jean-PARENT-14,2009-11-21 01:32:37+00:00,,observed,memory,pstree,process_relationship,parent_of,,,svchost.exe,,1732,976.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-14,Volatility 3 windows.pstree from M57-Jean memory image
24,M57-Jean,EVT-M57-Jean-PROCESS-12,2009-11-21 01:32:37+00:00,,observed,memory,pslist,process,process_start,,,svchost.exe,,1732,976.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-12,Volatility 3 windows.pslist from M57-Jean memory image
25,M57-Jean,EVT-M57-Jean-PARENT-26,2009-11-21 01:32:38+00:00,,observed,memory,pstree,process_relationship,parent_of,,,avgcsrvx.exe,,1760,1620.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-26,Volatility 3 windows.pstree from M57-Jean memory image
26,M57-Jean,EVT-M57-Jean-PROCESS-13,2009-11-21 01:32:38+00:00,,observed,memory,pslist,process,process_start,,,avgcsrvx.exe,,1760,1620.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-13,Volatility 3 windows.pslist from M57-Jean memory image
27,M57-Jean,EVT-M57-Jean-PARENT-18,2009-11-21 01:32:42+00:00,,observed,memory,pstree,process_relationship,parent_of,,,spoolsv.exe,,1996,976.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-18,Volatility 3 windows.pstree from M57-Jean memory image
28,M57-Jean,EVT-M57-Jean-PARENT-19,2009-11-21 01:32:42+00:00,,observed,memory,pstree,process_relationship,parent_of,,,AVGIDSAgent.exe,,2028,976.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-19,Volatility 3 windows.pstree from M57-Jean memory image
29,M57-Jean,EVT-M57-Jean-PROCESS-14,2009-11-21 01:32:42+00:00,,observed,memory,pslist,process,process_start,,,spoolsv.exe,,1996,976.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-14,Volatility 3 windows.pslist from M57-Jean memory image
30,M57-Jean,EVT-M57-Jean-PROCESS-15,2009-11-21 01:32:42+00:00,,observed,memory,pslist,process,process_start,,,AVGIDSAgent.exe,,2028,976.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-15,Volatility 3 windows.pslist from M57-Jean memory image
31,M57-Jean,EVT-M57-Jean-PARENT-15,2009-11-21 01:32:58+00:00,,observed,memory,pstree,process_relationship,parent_of,,,svchost.exe,,1572,976.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-15,Volatility 3 windows.pstree from M57-Jean memory image
32,M57-Jean,EVT-M57-Jean-PARENT-6,2009-11-21 01:32:58+00:00,,observed,memory,pstree,process_relationship,parent_of,,,avgwdsvc.exe,,1664,976.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-6,Volatility 3 windows.pstree from M57-Jean memory image
33,M57-Jean,EVT-M57-Jean-PROCESS-16,2009-11-21 01:32:58+00:00,,observed,memory,pslist,process,process_start,,,svchost.exe,,1572,976.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-16,Volatility 3 windows.pslist from M57-Jean memory image
34,M57-Jean,EVT-M57-Jean-PROCESS-17,2009-11-21 01:32:58+00:00,,observed,memory,pslist,process,process_start,,,avgwdsvc.exe,,1664,976.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-17,Volatility 3 windows.pslist from M57-Jean memory image
35,M57-Jean,EVT-M57-Jean-PARENT-13,2009-11-21 01:33:01+00:00,,observed,memory,pstree,process_relationship,parent_of,,,jqs.exe,,344,976.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-13,Volatility 3 windows.pstree from M57-Jean memory image
36,M57-Jean,EVT-M57-Jean-PARENT-16,2009-11-21 01:33:01+00:00,,observed,memory,pstree,process_relationship,parent_of,,,avgfws9.exe,,1796,976.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-16,Volatility 3 windows.pstree from M57-Jean memory image
37,M57-Jean,EVT-M57-Jean-PARENT-29,2009-11-21 01:33:01+00:00,,observed,memory,pstree,process_relationship,parent_of,,,explorer.exe,,1944,1972.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-29,Volatility 3 windows.pstree from M57-Jean memory image
38,M57-Jean,EVT-M57-Jean-PROCESS-18,2009-11-21 01:33:01+00:00,,observed,memory,pslist,process,process_start,,,avgfws9.exe,,1796,976.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-18,Volatility 3 windows.pslist from M57-Jean memory image
39,M57-Jean,EVT-M57-Jean-PROCESS-19,2009-11-21 01:33:01+00:00,,observed,memory,pslist,process,process_start,,,jqs.exe,,344,976.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-19,Volatility 3 windows.pslist from M57-Jean memory image
40,M57-Jean,EVT-M57-Jean-PROCESS-20,2009-11-21 01:33:01+00:00,,observed,memory,pslist,process,process_start,,,explorer.exe,,1944,1972.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-20,Volatility 3 windows.pslist from M57-Jean memory image
41,M57-Jean,EVT-M57-Jean-PARENT-30,2009-11-21 01:33:05+00:00,,observed,memory,pstree,process_relationship,parent_of,,,hkcmd.exe,,1504,1944.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-30,Volatility 3 windows.pstree from M57-Jean memory image
42,M57-Jean,EVT-M57-Jean-PARENT-34,2009-11-21 01:33:05+00:00,,observed,memory,pstree,process_relationship,parent_of,,,avgtray.exe,,1508,1944.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-34,Volatility 3 windows.pstree from M57-Jean memory image
43,M57-Jean,EVT-M57-Jean-PARENT-42,2009-11-21 01:33:05+00:00,,observed,memory,pstree,process_relationship,parent_of,,,jusched.exe,,1528,1944.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-42,Volatility 3 windows.pstree from M57-Jean memory image
44,M57-Jean,EVT-M57-Jean-PROCESS-21,2009-11-21 01:33:05+00:00,,observed,memory,pslist,process,process_start,,,hkcmd.exe,,1504,1944.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-21,Volatility 3 windows.pslist from M57-Jean memory image
45,M57-Jean,EVT-M57-Jean-PROCESS-22,2009-11-21 01:33:05+00:00,,observed,memory,pslist,process,process_start,,,avgtray.exe,,1508,1944.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-22,Volatility 3 windows.pslist from M57-Jean memory image
46,M57-Jean,EVT-M57-Jean-PROCESS-23,2009-11-21 01:33:05+00:00,,observed,memory,pslist,process,process_start,,,jusched.exe,,1528,1944.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-23,Volatility 3 windows.pslist from M57-Jean memory image
47,M57-Jean,EVT-M57-Jean-PARENT-36,2009-11-21 01:33:06+00:00,,observed,memory,pstree,process_relationship,parent_of,,,ctfmon.exe,,1676,1944.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-36,Volatility 3 windows.pstree from M57-Jean memory image
48,M57-Jean,EVT-M57-Jean-PARENT-40,2009-11-21 01:33:06+00:00,,observed,memory,pstree,process_relationship,parent_of,,,msmsgs.exe,,1752,1944.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-40,Volatility 3 windows.pstree from M57-Jean memory image
49,M57-Jean,EVT-M57-Jean-PROCESS-24,2009-11-21 01:33:06+00:00,,observed,memory,pslist,process,process_start,,,ctfmon.exe,,1676,1944.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-24,Volatility 3 windows.pslist from M57-Jean memory image
50,M57-Jean,EVT-M57-Jean-PROCESS-25,2009-11-21 01:33:06+00:00,,observed,memory,pslist,process,process_start,,,msmsgs.exe,,1752,1944.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-25,Volatility 3 windows.pslist from M57-Jean memory image
51,M57-Jean,EVT-M57-Jean-PARENT-35,2009-11-21 01:33:08+00:00,,observed,memory,pstree,process_relationship,parent_of,,,AVGIDSMonitor.e,,1836,1508.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-35,Volatility 3 windows.pstree from M57-Jean memory image
52,M57-Jean,EVT-M57-Jean-PROCESS-26,2009-11-21 01:33:08+00:00,,observed,memory,pslist,process,process_start,,,AVGIDSMonitor.e,,1836,1508.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-26,Volatility 3 windows.pslist from M57-Jean memory image
