case_id,event_id,timestamp,timestamp_end,timestamp_confidence,source,artifact_type,event_type,action,user,host,process,parent_process,process_id,parent_process_id,command_line,file,file_path,file_hash,device,ip_src,ip_dst,port_src,port_dst,protocol,parent_event_id,related_event_id,relationship,evidence_id,provenance
M57-Jean,EVT-M57-Jean-CMD-20,,,unknown,memory,cmdline,command_line,observed,,,explorer.exe,,1944,,C:\\WINDOWS\\Explorer.EXE,,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-20,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-22,,,unknown,memory,cmdline,command_line,observed,,,avgtray.exe,,1508,,"""C:\\PROGRA~1\\AVG\\AVG9\\avgtray.exe""",,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-22,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-25,,,unknown,memory,cmdline,command_line,observed,,,msmsgs.exe,,1752,,"""C:\\Program Files\\Messenger\\msmsgs.exe"" /background",,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-25,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-27,,,unknown,memory,cmdline,command_line,observed,,,avgemc.exe,,2132,,"""C:\\Program Files\\AVG\\AVG9\\avgemc.exe""",,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-27,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-28,,,unknown,memory,cmdline,command_line,observed,,,avgam.exe,,2244,,"""C:\\Program Files\\AVG\\AVG9\\avgam.exe""",,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-28,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-29,,,unknown,memory,cmdline,command_line,observed,,,avgnsx.exe,,2296,,"""C:\\Program Files\\AVG\\AVG9\\avgnsx.exe""",,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-29,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-31,,,unknown,memory,cmdline,command_line,observed,,,alg.exe,,3996,,C:\\WINDOWS\\System32\\alg.exe,,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-31,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-32,,,unknown,memory,cmdline,command_line,observed,,,avgcsrvx.exe,,1356,,"/pipeName=58f9671a-3f88-4487-b719-ce0f5ea9d328 /coreSdkOptions=18 /logConfFile=""C:\\Documents and Settings\\All Users\\Application Data\\avg9\\temp\\18ac7e4b-479c-4164-aa2b-1f89a4bde7f5-8f8-oopp.tmp"" /loggerName=AVG.NS.Core /tempPath=""C:\\Documents and Settings\\All Users\\Application Data\\avg9\\temp\\""",,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-32,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-34,,,unknown,memory,cmdline,command_line,observed,,,msimn.exe,,208,,"""C:\\Program Files\\Outlook Express\\msimn.exe""",,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-34,Volatility 3 windows.cmdline from M57-Jean memory image
M57-Jean,EVT-M57-Jean-CMD-39,,,unknown,memory,cmdline,command_line,observed,,,firefox.exe,,2892,,"""C:\\Program Files\\Mozilla Firefox\\firefox.exe""",,,,,,,,,,,,,M57-Jean-MEM-CMDLINE-39,Volatility 3 windows.cmdline from M57-Jean memory image
