case_id,logical_event_id,temporal_sequence,timestamp,process_id,process,graph_anomaly_score,graph_predicted_anomaly,graph_anomaly_rank
M57-Jean,LEVT-M57-Jean-PROCESS-1836-20091121013308,26,2009-11-21 01:33:08+00:00,1836,AVGIDSMonitor.e,-0.06490904993740076,False,14
M57-Jean,LEVT-M57-Jean-PROCESS-1572-20091121013258,16,2009-11-21 01:32:58+00:00,1572,svchost.exe,-0.06533697000577976,False,15
M57-Jean,LEVT-M57-Jean-PROCESS-3908-20091123221634,42,2009-11-23 22:16:34+00:00,3908,soffice.exe,-0.07658915164558555,False,16
M57-Jean,LEVT-M57-Jean-PROCESS-1432-20091121013235,9,2009-11-21 01:32:35+00:00,1432,svchost.exe,-0.07905970102289372,False,17
M57-Jean,LEVT-M57-Jean-PROCESS-2080-20091123221633,41,2009-11-23 22:16:33+00:00,2080,swriter.exe,-0.07917601052648437,False,18
M57-Jean,LEVT-M57-Jean-PROCESS-932-20091121013232,3,2009-11-21 01:32:32+00:00,932,winlogon.exe,-0.08301001510454042,False,19
M57-Jean,LEVT-M57-Jean-PROCESS-2992-20091124000124,47,2009-11-24 00:01:24+00:00,2992,mdd_1.3.exe,-0.08436014204096254,False,20
M57-Jean,LEVT-M57-Jean-PROCESS-1796-20091121013301,19,2009-11-21 01:33:01+00:00,1796,avgfws9.exe,-0.08445647695591818,False,21
M57-Jean,LEVT-M57-Jean-PROCESS-1248-20091121013234,7,2009-11-21 01:32:34+00:00,1248,svchost.exe,-0.0875725078764863,False,22
M57-Jean,LEVT-M57-Jean-PROCESS-3196-20091123182209,38,2009-11-23 18:22:09+00:00,3196,avgsrmax.exe,-0.09500742777465748,False,23
M57-Jean,LEVT-M57-Jean-PROCESS-2488-20091121013317,30,2009-11-21 01:33:17+00:00,2488,avgcsrvx.exe,-0.0972485404283393,False,24
M57-Jean,LEVT-M57-Jean-PROCESS-2576-20091123220845,40,2009-11-23 22:08:45+00:00,2576,iexplore.exe,-0.10174167135579043,False,25
M57-Jean,LEVT-M57-Jean-PROCESS-2308-20091123225441,44,2009-11-23 22:54:41+00:00,2308,avgcmgr.exe,-0.10431460762171724,False,26
M57-Jean,LEVT-M57-Jean-PROCESS-812-20091121013230,1,2009-11-21 01:32:30+00:00,812,smss.exe,-0.10844427752650027,False,27
M57-Jean,LEVT-M57-Jean-PROCESS-1620-20091121013235,11,2009-11-21 01:32:35+00:00,1620,avgrsx.exe,-0.1115733982192455,False,28
