case_id,process_id,process_name,create_time,anomaly_score,predicted_anomaly
M57-Jean,3560,soffice.bin,2009-11-23 22:16:35+00:00,0.21843972764321518,1
M57-Jean,2892,firefox.exe,2009-11-23 22:03:35+00:00,0.1637969517835599,1
M57-Jean,208,msimn.exe,2009-11-23 16:55:19+00:00,0.16151763545879938,1
M57-Jean,1372,svchost.exe,2009-11-21 01:32:35+00:00,0.144385508241331,1
M57-Jean,4,System,,0.08709105723568578,1
M57-Jean,1944,explorer.exe,2009-11-21 01:33:01+00:00,0.0729890288946119,1
M57-Jean,1204,iexplore.exe,2009-11-23 16:55:12+00:00,0.054766411957815064,1
M57-Jean,2004,avgcmgr.exe,2009-11-23 23:52:45+00:00,0.048258210320051176,1
M57-Jean,620,cmd.exe,2009-11-23 23:59:25+00:00,0.04643326272416137,1
M57-Jean,3196,avgsrmax.exe,2009-11-23 18:22:09+00:00,0.0435280449483072,1
M57-Jean,1836,AVGIDSMonitor.e,2009-11-21 01:33:08+00:00,0.03971253839695843,1
M57-Jean,2992,mdd_1.3.exe,2009-11-24 00:01:24+00:00,0.03716336170369927,1
M57-Jean,1572,svchost.exe,2009-11-21 01:32:58+00:00,0.019107972925529237,1
M57-Jean,1796,avgfws9.exe,2009-11-21 01:33:01+00:00,0.005907724138460302,1
M57-Jean,2576,iexplore.exe,2009-11-23 22:08:45+00:00,0.0019650127668509043,1
M57-Jean,2308,avgcmgr.exe,2009-11-23 22:54:41+00:00,0.0019650127668509043,1
M57-Jean,2080,swriter.exe,2009-11-23 22:16:33+00:00,-0.0010857805057779002,0
M57-Jean,3908,soffice.exe,2009-11-23 22:16:34+00:00,-0.003520310444959429,0
M57-Jean,932,winlogon.exe,2009-11-21 01:32:32+00:00,-0.014601855128300756,0
M57-Jean,4028,iexplore.exe,2009-11-23 17:14:39+00:00,-0.016746633092319108,0
M57-Jean,3992,iexplore.exe,2009-11-23 17:04:51+00:00,-0.016746633092319108,0
M57-Jean,2840,iexplore.exe,2009-11-23 17:04:51+00:00,-0.016746633092319108,0
M57-Jean,2028,AVGIDSAgent.exe,2009-11-21 01:32:42+00:00,-0.0251443643022623,0
M57-Jean,1612,avgchsvx.exe,2009-11-21 01:32:35+00:00,-0.053120553459475306,0
M57-Jean,2488,avgcsrvx.exe,2009-11-21 01:33:17+00:00,-0.053120553459475306,0
M57-Jean,908,csrss.exe,2009-11-21 01:32:32+00:00,-0.06497444284129072,0
M57-Jean,1504,hkcmd.exe,2009-11-21 01:33:05+00:00,-0.06535435754480617,0
M57-Jean,1528,jusched.exe,2009-11-21 01:33:05+00:00,-0.06535435754480617,0
M57-Jean,1676,ctfmon.exe,2009-11-21 01:33:06+00:00,-0.06535435754480617,0
M57-Jean,988,lsass.exe,2009-11-21 01:32:32+00:00,-0.0727809021644854,0
M57-Jean,2132,avgemc.exe,2009-11-21 01:33:11+00:00,-0.07744791787364014,0
M57-Jean,1664,avgwdsvc.exe,2009-11-21 01:32:58+00:00,-0.07802213311611933,0
M57-Jean,1620,avgrsx.exe,2009-11-21 01:32:35+00:00,-0.08452773046108347,0
M57-Jean,3996,alg.exe,2009-11-21 01:33:35+00:00,-0.09032359341147123,0
M57-Jean,812,smss.exe,2009-11-21 01:32:30+00:00,-0.0913929771840079,0
M57-Jean,1760,avgcsrvx.exe,2009-11-21 01:32:38+00:00,-0.0923857463394056,0
M57-Jean,1356,avgcsrvx.exe,2009-11-21 01:34:48+00:00,-0.0923857463394056,0
M57-Jean,1752,msmsgs.exe,2009-11-21 01:33:06+00:00,-0.09257440498383995,0
M57-Jean,1996,spoolsv.exe,2009-11-21 01:32:42+00:00,-0.09681302512176887,0
M57-Jean,2244,avgam.exe,2009-11-21 01:33:13+00:00,-0.097226192252518,0
M57-Jean,1508,avgtray.exe,2009-11-21 01:33:05+00:00,-0.10073962542771925,0
M57-Jean,1152,svchost.exe,2009-11-21 01:32:34+00:00,-0.1020716507820208,0
M57-Jean,344,jqs.exe,2009-11-21 01:33:01+00:00,-0.1083596356715758,0
M57-Jean,2296,avgnsx.exe,2009-11-21 01:33:14+00:00,-0.11045880812905112,0
M57-Jean,976,services.exe,2009-11-21 01:32:32+00:00,-0.11138064391235425,0
M57-Jean,1732,svchost.exe,2009-11-21 01:32:37+00:00,-0.11775424769196513,0
M57-Jean,1248,svchost.exe,2009-11-21 01:32:34+00:00,-0.11866237790704282,0
M57-Jean,1432,svchost.exe,2009-11-21 01:32:35+00:00,-0.12123617831330386,0
