case_id,logical_event_id,temporal_sequence,timestamp,process_id,process,graph_anomaly_score,graph_predicted_anomaly,graph_anomaly_rank,value_gap_log_seconds,shap_gap_log_seconds,value_local_density_10s,shap_local_density_10s,value_local_density_30s,shap_local_density_30s,value_local_density_60s,shap_local_density_60s,value_process_changed,shap_process_changed,value_parent_count,shap_parent_count,value_child_count,shap_child_count,value_graph_degree,shap_graph_degree,value_in_degree,shap_in_degree,value_out_degree,shap_out_degree,value_command_line_count,shap_command_line_count,value_module_count,shap_module_count,value_memory_region_count,shap_memory_region_count,value_relationship_type_count,shap_relationship_type_count
M57-Jean,LEVT-M57-Jean-PROCESS-3560-20091123221635,43,2009-11-23 22:16:35+00:00,3560,soffice.bin,0.0738711085629044,True,1,0.6931471805599453,0.021018173939173237,9,-0.17735053083199911,15,-0.28402864243846415,15,-0.28466686979473876,1,0.11607596401520491,1,0.0,0,0.10625338758716389,200,-0.8272472409455719,1,0.0,199,-0.8454188909371096,1,0.06892352672402816,197,-0.8060277859370265,1,0.031900988585982996,4,-0.008149600525044032
M57-Jean,LEVT-M57-Jean-PROCESS-2892-20091123220335,39,2009-11-23 22:03:35+00:00,2892,firefox.exe,0.0619213473507312,True,2,9.494541392591309,-0.5389776634357095,9,-0.17190896776428308,15,-0.22650383095028706,15,-0.23183002628695595,1,0.11657761176221265,1,0.0,0,0.10243366183370475,102,-0.27316923752478844,1,0.0,101,-0.29229532785960194,1,0.05858235844446852,87,-0.21435958192591467,13,-1.0175937196590934,4,-0.014102973881614802
M57-Jean,LEVT-M57-Jean-PROCESS-1372-20091121013235,8,2009-11-21 01:32:35+00:00,1372,svchost.exe,0.0556629111762587,True,3,0.6931471805599453,0.059246138583183665,35,0.013133352808622115,35,-0.014794071644924899,35,-0.0062838555559372195,0,-0.8877604421987961,1,0.0,0,0.10075007765722553,172,-0.6561200046344384,1,0.0,171,-0.6547862204120888,1,0.1160966644018481,168,-0.6876055805085609,2,-0.06439694264633043,4,0.07796903137097366
M57-Jean,LEVT-M57-Jean-PROCESS-3992-20091123170451,36,2009-11-23 17:04:51+00:00,3992,iexplore.exe,0.0223567876815253,True,4,0.0,-0.05755636892100342,7,-0.25611911048612274,16,-0.39107861960897217,16,-0.4336896886580849,0,-0.8916258047434936,1,0.0,0,0.08586206904609253,1,0.05188100168040954,1,0.0,0,0.06629941946202228,0,-0.2180004677733765,0,0.07361306367295134,0,0.07234791205957464,1,-0.1645723981897029
M57-Jean,LEVT-M57-Jean-PROCESS-1944-20091121013301,20,2009-11-21 01:33:01+00:00,1944,explorer.exe,0.0083882118730397,True,5,0.0,0.09612044046582294,34,0.08863304283823416,34,0.06593100343151134,34,0.053903343969784044,1,0.1190041671613858,1,0.0,9,-0.9807794210162571,123,-0.4128799518171453,1,0.0,122,-0.4590681958097957,1,0.13148226597114662,109,-0.3302187031855002,3,-0.3139591983491053,4,0.11561713951107765
M57-Jean,LEVT-M57-Jean-PROCESS-208-20091123165519,34,2009-11-23 16:55:19+00:00,208,msimn.exe,-0.0055921412486931,False,6,2.079441541679836,-0.10147542396635313,6,-0.4312997975816316,15,-0.31572689129782083,15,-0.34196960046465125,1,0.13372283697302675,1,0.0,0,0.1257629325326057,94,-0.24123314318043043,1,0.0,93,-0.22115095565448728,1,0.09203060434889629,90,-0.23288472819110456,2,-0.08025844430988678,4,0.030691595687820213
M57-Jean,LEVT-M57-Jean-PROCESS-2004-20091123235245,45,2009-11-23 23:52:45+00:00,2004,avgcmgr.exe,-0.0320065068366266,False,7,8.156223323194624,-0.16774255229268026,9,-0.06805985271554883,15,-0.029601646080714757,15,-0.06518542812741583,0,-1.0339992477962106,1,0.0,0,0.08963010707076385,1,0.08635470248358759,1,0.0,0,0.09029242988624987,0,-0.13099372384039254,0,0.10153165879701764,0,0.09372785710376051,1,-0.07482868524760065
M57-Jean,LEVT-M57-Jean-PROCESS-2840-20091123170451,35,2009-11-23 17:04:51+00:00,2840,iexplore.exe,-0.0347822489459361,False,8,6.35088571671474,-0.15233492107358296,7,-0.2964704616830391,16,-0.4422442392609084,16,-0.48969134738799425,1,0.15153475532732874,1,0.0,0,0.09864521541698981,1,0.08606599423050758,1,0.0,0,0.08771202770657802,0,-0.18120756293516702,0,0.09465719170978426,0,0.09962252730015739,1,-0.11390670332693292
M57-Jean,LEVT-M57-Jean-PROCESS-4028-20091123171439,37,2009-11-23 17:14:39+00:00,4028,iexplore.exe,-0.0362529006521815,False,9,6.3784261836515865,-0.07020414282180361,6,-0.19206553906306412,15,-0.023386896644001454,15,-0.07196055940031254,0,-0.9642873520494692,1,0.0,0,0.08889054258557784,1,0.08559666373913298,1,0.0,0,0.09171996095966173,0,-0.1116263666656516,0,0.10564981771756778,0,0.09427221020876338,1,-0.06295074810534705
M57-Jean,LEVT-M57-Jean-PROCESS-976-20091121013232,4,2009-11-21 01:32:32+00:00,976,services.exe,-0.0441472917245667,False,10,0.0,0.11018002482880968,35,0.05891232858475041,35,0.014508127239336572,35,-0.0011465976319626067,1,0.13743114760329145,1,0.0,13,-1.700900944938101,43,0.03298857737425045,1,0.0,42,0.055734348491786885,1,0.16126999511686052,27,0.02727344721655277,1,0.0951197366731349,4,0.12593418142036678
