case_id,logical_event_id,temporal_sequence,timestamp,process_id,process,graph_only_anomaly_rank,graph_only_anomaly_score,graph_only_predicted_anomaly,shap_parent_count,shap_child_count,shap_graph_degree,shap_in_degree,shap_out_degree,shap_command_line_count,shap_module_count,shap_memory_region_count,shap_relationship_type_count,shap_total_abs,top_graph_feature,top_graph_feature_shap
M57-Jean,LEVT-M57-Jean-PROCESS-3560-20091123221635,43,2009-11-23 22:16:35+00:00,3560,soffice.bin,1,0.1036308946789723,True,0.0,0.15126417018472507,-1.228135487670614,0.0,-1.3946086806275846,0.13213051150513883,-1.491724695450222,0.03732051548350865,0.057243404786659895,4.492427465708452,module_count,-1.491724695450222
M57-Jean,LEVT-M57-Jean-PROCESS-1944-20091121013301,20,2009-11-21 01:33:01+00:00,1944,explorer.exe,2,0.0516357016866469,True,0.0,-1.2795937334899954,-0.5013715240824748,0.0,-0.5298547439848356,0.17721076861864743,-0.5162945343621983,-0.4262229035091507,0.12785388587341062,3.558402093920713,child_count,-1.2795937334899954
M57-Jean,LEVT-M57-Jean-PROCESS-1372-20091121013235,8,2009-11-21 01:32:35+00:00,1372,svchost.exe,3,0.0490691685136838,True,0.0,0.17623965768592748,-1.0412832080977739,0.0,-1.1149393384626918,0.17634604070158247,-1.1437606810190823,-0.06791581461885265,0.10762464642957022,3.828109387015481,module_count,-1.1437606810190823
M57-Jean,LEVT-M57-Jean-PROCESS-2892-20091123220335,39,2009-11-23 22:03:35+00:00,2892,firefox.exe,4,0.0258452420934022,True,0.0,0.19122135101984836,-0.31760832501411973,0.0,-0.3451012745419056,0.21260794636843863,-0.3225578836218867,-2.110904878863016,0.1596662533720363,3.6596679128012513,memory_region_count,-2.110904878863016
M57-Jean,LEVT-M57-Jean-PROCESS-1836-20091121013308,26,2009-11-21 01:33:08+00:00,1836,AVGIDSMonitor.e,5,0.007677698279471,True,0.0,0.1580453219387283,-0.19911960184882463,0.0,-0.27220466318780645,-0.6127605013118649,0.08621078267164828,-1.0547826322897083,-0.33445511450397186,2.7175786177525527,memory_region_count,-1.0547826322897083
M57-Jean,LEVT-M57-Jean-PROCESS-1572-20091121013258,16,2009-11-21 01:32:58+00:00,1572,svchost.exe,6,-0.0051184655196473,False,0.0,0.16801300150425208,-0.17858132005641683,0.0,-0.16167085529815003,-1.3567976933237225,-0.12108977905045468,-0.04377686672083342,-0.31558060573652,2.3455101216903493,command_line_count,-1.3567976933237225
M57-Jean,LEVT-M57-Jean-PROCESS-976-20091121013232,4,2009-11-21 01:32:32+00:00,976,services.exe,7,-0.0068940157268762,False,0.0,-2.5490149659855517,0.041147267015050254,0.0,0.044117098839022255,0.26056846073545764,0.04793255776091546,0.06422131625328935,0.1124015022923531,3.1194031688816395,child_count,-2.5490149659855517
M57-Jean,LEVT-M57-Jean-PROCESS-1796-20091121013301,19,2009-11-21 01:33:01+00:00,1796,avgfws9.exe,8,-0.031506223970201,False,0.0,0.19522705147798478,-0.49255615829270044,0.0,-0.49783609530565415,0.2450484203366012,-0.6057058130660269,0.030967401914107892,-0.4158100543503073,2.4831509947433825,module_count,-0.6057058130660269
M57-Jean,LEVT-M57-Jean-PROCESS-812-20091121013230,1,2009-11-21 01:32:30+00:00,812,smss.exe,9,-0.0408525652853672,False,0.0,-0.7411799054643572,-0.15048898790784143,0.0,-0.1886762858121069,0.053521336677881594,0.021437510905431337,0.14323860736726016,-0.5069871313233096,1.8055297654581883,child_count,-0.7411799054643572
M57-Jean,LEVT-M57-Jean-PROCESS-932-20091121013232,3,2009-11-21 01:32:32+00:00,932,winlogon.exe,10,-0.0696602478936367,False,0.0,-0.6874319190699383,-0.2202399010929091,0.0,-0.1920019505086871,0.26147840368236946,-0.2663291791525164,0.015207196556192902,0.26841280431339837,1.9111013543760116,child_count,-0.6874319190699383
