case_id,process_id,process_name,anomaly_score,predicted_anomaly,child_count_shap,command_line_count_shap,module_count_shap,memory_region_count_shap,graph_degree_shap,hour_shap,day_of_week_shap,after_hours_shap
M57-Jean,4,System,0.0870910572356857,1,-0.0072239487146522775,0.03823596649542933,-0.007418383757201006,-0.004043837263114033,-0.008610299588987454,0.0013386086144605157,-0.003610193495006415,0.10282703884537807
M57-Jean,208,msimn.exe,0.1615176354587993,1,0.016271570874291885,-0.005858907045955137,0.01927664713434908,0.00585387766644005,0.020515442922577554,0.02326892714154408,0.029765860910161673,0.07682810975601112
M57-Jean,344,jqs.exe,-0.1083596356715758,0,-0.00769855471227897,-0.022748879335266883,-0.007893604105551582,-0.0018917905401387206,-0.006425517953851451,-0.009006824319866397,-0.015418329047006919,-0.012872241756993917
M57-Jean,620,cmd.exe,0.0464332627241613,1,0.002183642391508567,-0.010641205643044358,-0.0024264262586880638,-0.0035353771426917427,0.0004375542348697178,0.048880506325527706,0.04380755873982774,-0.007869096022527087
M57-Jean,812,smss.exe,-0.0913929771840079,0,-0.0034851303281605607,-0.011484474372836477,-0.004922053985161224,-0.007046826933574572,-0.005660365659688893,-0.006331100473502526,-0.014571093036548074,-0.013488038493914549
M57-Jean,908,csrss.exe,-0.0649744428412907,0,-0.0006575987827671794,-0.016680668330558205,-0.0019198950218340366,0.012639061156406334,-0.0011192227880690128,-0.007166082899830615,-0.012488545408469345,-0.013177596865547573
M57-Jean,932,winlogon.exe,-0.0146018551283007,0,0.017587182043084987,-0.017495948925332988,0.0179049826936289,-0.00014273664986967858,0.022047858661423805,-0.00754589960786331,-0.01115762589832118,-0.011395773544430237
M57-Jean,976,services.exe,-0.1113806439123542,0,-0.006226619394914577,-0.02204747079439198,-0.005854625133076855,-0.009367071954637369,-0.004999531081968194,-0.00991473355119986,-0.015423897185400487,-0.013142800916143796
M57-Jean,988,lsass.exe,-0.0727809021644854,0,0.007555431783366975,-0.020227111594311568,0.0057063803397265755,-0.009339412201074511,0.0041849759067854745,-0.00928260537373261,-0.014462624574384016,-0.012512042550240599
M57-Jean,1152,svchost.exe,-0.1020716507820208,0,-0.002490017233744624,-0.022400400676597557,-0.001831247367298107,-0.010597773351164175,-0.0020359285948477516,-0.010235538822149694,-0.01532955828776361,-0.012747292547834202
M57-Jean,1204,iexplore.exe,0.054766411957815,1,-0.01060576746129277,0.01961156908968431,-0.008281425510312307,-0.006408162001939666,-0.013654835727173669,0.013452268003938924,0.019381959145031578,0.06567470032049975
M57-Jean,1248,svchost.exe,-0.1186623779070428,0,-0.008350107654624173,-0.023466757798619203,-0.006802371409872928,-0.010641249740797517,-0.006224708017413746,-0.009884468564735401,-0.0157149676980512,-0.013173853122307767
M57-Jean,1356,avgcsrvx.exe,-0.0923857463394056,0,-0.0048905393423718715,-0.007953594319743407,-0.005963368357776311,-0.007242855619701928,-0.0067645114802494305,-0.006707644929397542,-0.014578025035577017,-0.013881313353967027
M57-Jean,1372,svchost.exe,0.144385508241331,1,0.05957477393822182,-0.010064602756379435,0.06887406908025581,0.0033957099132080858,0.06827611311814777,-0.005224773099482009,-0.007182797280275051,-0.00885909077174474
M57-Jean,1432,svchost.exe,-0.1212361783133038,0,-0.008237228303747821,-0.02213596345533228,-0.009392292888398763,-0.008914352471265345,-0.00819593679355632,-0.010124639672587423,-0.016292122488081043,-0.013539748339713909
M57-Jean,1504,hkcmd.exe,-0.0653543575448061,0,-0.01280173378820081,0.036682528428694176,-0.012194012323776694,-0.008199859028258209,-0.013589335959989325,-0.005031032080432246,-0.012152382444377784,-0.013664636447844271
M57-Jean,1508,avgtray.exe,-0.1007396254277192,0,-0.007883507900404176,-0.02368120519658287,-0.008133115055816535,0.007935905945243212,-0.006958189166613738,-0.009387950718979398,-0.015172170330187331,-0.013055499103757407
M57-Jean,1528,jusched.exe,-0.0653543575448061,0,-0.013257941429276632,0.036059089261387615,-0.011624917284415115,-0.007896017252471276,-0.013619290533423409,-0.004974259549322958,-0.011953737626043312,-0.01368338923062008
M57-Jean,1572,svchost.exe,0.0191079729255292,1,0.0022616980070296745,0.07271235863498553,0.0012117597194551781,-0.008397749290658722,0.00198644726904947,-0.005065051388500194,-0.0100624209805049,-0.01113517514470576
M57-Jean,1612,avgchsvx.exe,-0.0531205534594753,0,-0.011763364762556147,0.03923819100585788,-0.012133748340364195,-0.005796532572079691,-0.012343399721001805,-0.0036948535391792543,-0.010356803307275996,-0.01186614832225512
M57-Jean,1620,avgrsx.exe,-0.0845277304610834,0,-0.002115419273407745,-0.015417884910857303,-0.002763129233672529,-0.005480133730592343,-0.00047341241413079925,-0.007005378543631387,-0.013621734220221327,-0.013246744233949065
M57-Jean,1664,avgwdsvc.exe,-0.0780221331161193,0,0.0029915030666289376,-0.022181873452837418,-0.0021098973839810855,0.0038655784272570086,7.591921801999626e-05,-0.009258685888389883,-0.014320448563740974,-0.012680334638454836
M57-Jean,1676,ctfmon.exe,-0.0653543575448061,0,-0.01336292180357368,0.03688917922183308,-0.01178493809927526,-0.007962765888840583,-0.013865206166682065,-0.0048899753360395325,-0.012152107295533222,-0.013821728276073919
M57-Jean,1732,svchost.exe,-0.1177542476919651,0,-0.0073189552248927835,-0.023741626122323948,-0.0069182815598209275,-0.010671202167831096,-0.006391286630807929,-0.009735403682551535,-0.01559384514828061,-0.01297975325483536
M57-Jean,1752,msmsgs.exe,-0.0925744049838399,0,-0.004060984017326815,-0.023266458276102124,-0.005281408280801979,0.005500047581235057,-0.0047727100575109755,-0.009170418164268956,-0.014243780417027875,-0.012874799451415364
M57-Jean,1760,avgcsrvx.exe,-0.0923857463394056,0,-0.005045835300184802,-0.008248939921631672,-0.0057873046090513944,-0.00719229211198797,-0.006895571073865266,-0.00657403773488636,-0.01468129682405325,-0.013556574863123828
M57-Jean,1796,avgfws9.exe,0.0059077241384603,1,0.023038127619189434,-0.017134722801029158,0.024235177701849974,0.0032518075585981107,0.025219057092273737,-0.006918129777679442,-0.01003348130676869,-0.011346218047352617
M57-Jean,1836,AVGIDSMonitor.e,0.0397125383969584,1,-0.0033517171979126985,0.04651250868272746,-0.006965476942988881,0.05268414275019816,-0.003348784918760255,-0.001921623594726869,-0.007730661582872523,-0.011761954898084978
M57-Jean,1944,explorer.exe,0.0729890288946119,1,0.0368481405900336,-0.014763022653132118,0.0317648243530397,0.027744073281780548,0.039585683803612604,-0.005198752527649941,-0.008504828724489905,-0.010083195327961637
M57-Jean,1996,spoolsv.exe,-0.0968130251217688,0,-0.0011288779167052056,-0.021899836742500692,-0.0005606491182362576,-0.010518065112580289,-0.0011776878997419025,-0.009600927082254258,-0.01490111010588735,-0.012621977243241806
M57-Jean,2004,avgcmgr.exe,0.0482582103200511,1,-0.009801779952583422,0.028972841076655643,-0.007351201011127297,-0.005584656232867611,-0.010261106257855314,0.04589543900447932,0.035017704688490324,-0.0042251370945193874
M57-Jean,2028,AVGIDSAgent.exe,-0.0251443643022623,0,0.007277518495680106,-0.020392281636711806,0.003934918615932836,0.0352123119006988,0.004307259903817728,-0.007445347508550172,-0.011997782376436061,-0.011637067796072686
M57-Jean,2080,swriter.exe,-0.0010857805057779,0,-0.0016668726037312334,-0.009446278276977627,-0.005904978959505958,-0.0051669980402651566,-0.003956221039224807,0.022700508890138922,0.035417387475909466,-0.00865843405150047
M57-Jean,2132,avgemc.exe,-0.0774479178736401,0,0.0019641332112844993,-0.011507706118449975,-0.0015308466370810069,-0.005221519364762203,-0.0021594812755172045,-0.006947888977492453,-0.014009516717523362,-0.013631198093477306
M57-Jean,2244,avgam.exe,-0.097226192252518,0,-0.0029656563099016093,-0.01945005155155258,-0.006087964311373904,-0.0029307999124664284,-0.003958036042211831,-0.009067550401634568,-0.015078409535742337,-0.013283830287013656
M57-Jean,2296,avgnsx.exe,-0.1104588081290511,0,-0.007560934549572647,-0.022130330033077513,-0.009431964420935772,-0.002371370516205051,-0.006576143629397857,-0.009522000875385074,-0.015423973376877162,-0.013038196826979058
M57-Jean,2308,avgcmgr.exe,0.0019650127668509,1,-0.010871583350361202,0.02546689538184186,-0.009465348116532853,-0.006242440921066209,-0.011128696223040767,0.014450931446524524,0.030073341442957095,-0.005914192992850503
M57-Jean,2488,avgcsrvx.exe,-0.0531205534594753,0,-0.011516962897986628,0.039229251688499785,-0.011964500453917675,-0.006114556780024485,-0.012441133713488114,-0.0038284404883890243,-0.010201468594838422,-0.011878848318709775
M57-Jean,2576,iexplore.exe,0.0019650127668509,1,-0.01119123449687372,0.026237874340106004,-0.009573812184300602,-0.006264534124213355,-0.012021982446628022,0.014985378449995418,0.030079906510993796,-0.005882689381607579
M57-Jean,2840,iexplore.exe,-0.0167466330923191,0,-0.015301400930317753,0.014354542764336583,-0.009592013010155815,-0.007717400708459339,-0.01751147667087871,-0.020009144957772056,0.01234440494434161,0.05108974937720739
M57-Jean,2892,firefox.exe,0.1637969517835599,1,0.01984100121989886,-0.006792027371655351,0.018629261475707228,0.0828065944035909,0.025001201971573187,0.025362085683804724,0.030496301875614442,-0.007143573574352972
M57-Jean,2992,mdd_1.3.exe,0.0371633617036992,1,0.0008032304205834666,-0.009494766097034146,-0.003929625706988084,-0.0029876910759580526,-0.00012247533369640358,0.033784717811620076,0.053043777515923145,-0.009529911930129701
M57-Jean,3196,avgsrmax.exe,0.0435280449483072,1,-0.012173688143226823,0.020429502855932664,-0.008730636626201554,-0.006572126782155955,-0.014393571479803875,0.0062472099170462125,0.017523311727176607,0.0656019373801609
M57-Jean,3560,soffice.bin,0.2184397276432151,1,0.061341041424958644,-0.004195145327608332,0.07108055026837663,-0.0023037740935423824,0.0737750063943591,0.023312509568373444,0.025026680721198073,-0.005193247412279069
M57-Jean,3908,soffice.exe,-0.0035203104449594,0,-0.0025067083806283035,-0.00903114169951882,-0.006632962901681355,-0.005181717458755784,-0.004753760075899144,0.022630467850592403,0.034902796001756664,-0.00854338988020405
M57-Jean,3992,iexplore.exe,-0.0167466330923191,0,-0.014367406850056571,0.013730922450155275,-0.010009223618742798,-0.0074188154433575335,-0.01716573333621499,-0.01997124318655215,0.011689392069257417,0.051169368723813294
M57-Jean,3996,alg.exe,-0.0903235934114712,0,-0.002256677770924152,-0.012590900925792937,-0.004633510300577832,-0.0068577683399728305,-0.005279660571966338,-0.006886734531844413,-0.013942503082169353,-0.013471943987602302
M57-Jean,4028,iexplore.exe,-0.0167466330923191,0,-0.01472471447055474,0.013348528750857841,-0.009748159230181502,-0.007410018958843671,-0.016941824027540603,-0.020984407823626733,0.011404187955219447,0.05271366861297189
