logical_event_id,temporal_anomaly_rank,temporal_anomaly_score,temporal_sequence,timestamp,process_id,process,previous_process_id,previous_process,process_transition,time_since_previous_event_seconds,local_density_10s,local_density_30s,local_density_60s,process_changed,shap_explanation,evidence_summary,evidence_ids,relationship_summary,assessment,limitation
LEVT-M57-Jean-PROCESS-3992-20091123170451,1,0.0662659038335485,36,2009-11-23 17:04:51+00:00,3992,iexplore.exe,2840.0,iexplore.exe,iexplore.exe -> iexplore.exe,0.0,7,16,16,0,process_changed had value 0 and increased the anomaly score (SHAP=+0.070758). local_density_60s had value 16 and increased the anomaly score (SHAP=+0.037283). local_density_30s had value 16 and increased the anomaly score (SHAP=+0.037269).,"PSList=1, PSTree=1",M57-Jean-MEM-PSLIST-35;M57-Jean-MEM-PSTREE-44,Child processes: none observed,The event was ranked as temporally anomalous relative to the Isolation Forest baseline. The anomaly indication should be reviewed against the underlying forensic evidence and surrounding timeline context.,"An anomaly score does not establish maliciousness, attack activity, or causality. Chronological adjacency is not treated as causal evidence. The result should be interpreted together with the linked forensic artifacts."
LEVT-M57-Jean-PROCESS-2840-20091123170451,2,0.0327884061088914,35,2009-11-23 17:04:51+00:00,2840,iexplore.exe,208.0,msimn.exe,msimn.exe -> iexplore.exe,572.0,7,16,16,1,local_density_10s had value 7 and increased the anomaly score (SHAP=+0.042841). local_density_30s had value 16 and increased the anomaly score (SHAP=+0.039656). local_density_60s had value 16 and increased the anomaly score (SHAP=+0.038414).,"PSList=1, PSTree=1",M57-Jean-MEM-PSLIST-36;M57-Jean-MEM-PSTREE-45,Child processes: none observed,The event was ranked as temporally anomalous relative to the Isolation Forest baseline. The anomaly indication should be reviewed against the underlying forensic evidence and surrounding timeline context.,"An anomaly score does not establish maliciousness, attack activity, or causality. Chronological adjacency is not treated as causal evidence. The result should be interpreted together with the linked forensic artifacts."
LEVT-M57-Jean-PROCESS-2004-20091123235245,3,0.014502861912613,45,2009-11-23 23:52:45+00:00,2004,avgcmgr.exe,2308.0,avgcmgr.exe,avgcmgr.exe -> avgcmgr.exe,3484.0,9,15,15,0,process_changed had value 0 and increased the anomaly score (SHAP=+0.105392). gap_log_seconds had value 0.0000 and increased the anomaly score (SHAP=+0.036620). local_density_60s had value 15 and decreased the anomaly score (SHAP=-0.008439).,"PSList=1, PSTree=1",M57-Jean-MEM-PSLIST-45;M57-Jean-MEM-PSTREE-9,Child processes: none observed,The event was ranked as temporally anomalous relative to the Isolation Forest baseline. The anomaly indication should be reviewed against the underlying forensic evidence and surrounding timeline context.,"An anomaly score does not establish maliciousness, attack activity, or causality. Chronological adjacency is not treated as causal evidence. The result should be interpreted together with the linked forensic artifacts."
LEVT-M57-Jean-PROCESS-4028-20091123171439,4,0.0076434922566847,37,2009-11-23 17:14:39+00:00,4028,iexplore.exe,3992.0,iexplore.exe,iexplore.exe -> iexplore.exe,588.0,6,15,15,0,process_changed had value 0 and increased the anomaly score (SHAP=+0.090557). local_density_10s had value 6 and increased the anomaly score (SHAP=+0.024318). gap_log_seconds had value 0.0000 and increased the anomaly score (SHAP=+0.018985).,"PSList=1, PSTree=1",M57-Jean-MEM-PSLIST-37;M57-Jean-MEM-PSTREE-46,Child processes: none observed,The event was ranked as temporally anomalous relative to the Isolation Forest baseline. The anomaly indication should be reviewed against the underlying forensic evidence and surrounding timeline context.,"An anomaly score does not establish maliciousness, attack activity, or causality. Chronological adjacency is not treated as causal evidence. The result should be interpreted together with the linked forensic artifacts."
LEVT-M57-Jean-PROCESS-1204-20091123165512,5,0.0004556870757799,33,2009-11-23 16:55:12+00:00,1204,iexplore.exe,1356.0,avgcsrvx.exe,avgcsrvx.exe -> iexplore.exe,228024.0,6,15,15,1,gap_log_seconds had value 0.0000 and increased the anomaly score (SHAP=+0.098289). local_density_10s had value 6 and increased the anomaly score (SHAP=+0.031046). process_changed had value 1 and decreased the anomaly score (SHAP=-0.010295).,"PSList=1, PSTree=1",M57-Jean-MEM-PSLIST-33;M57-Jean-MEM-PSTREE-43,Child processes: none observed,The event was ranked as temporally anomalous relative to the Isolation Forest baseline. The anomaly indication should be reviewed against the underlying forensic evidence and surrounding timeline context.,"An anomaly score does not establish maliciousness, attack activity, or causality. Chronological adjacency is not treated as causal evidence. The result should be interpreted together with the linked forensic artifacts."
