case_id,logical_event_id,timestamp,timestamp_confidence,logical_event_type,action,process_id,process,parent_process_ids,evidence_ids,source_observation_count,provenance,temporal_sequence,previous_timestamp,time_since_previous_event_seconds,is_first_event,gap_log_seconds,event_hour,event_day_of_week,after_hours,events_prev_10s,events_next_10s,local_density_10s,events_prev_30s,events_next_30s,local_density_30s,events_prev_60s,events_next_60s,local_density_60s,previous_process_id,previous_process,process_changed,process_transition,parent_process_id,rapid_event,short_event_gap,medium_event_gap,long_event_gap
M57-Jean,LEVT-M57-Jean-PROCESS-1356-20091121013448,2009-11-21 01:34:48+00:00,observed,process_start,process_start,1356,avgcsrvx.exe,2296,M57-Jean-MEM-PSLIST-32;M57-Jean-MEM-PSTREE-11,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,32,2009-11-21 01:33:35+00:00,73.0,0,4.30406509320417,1,5,1,0,0,0,0,0,0,0,0,0,3996.0,alg.exe,1,alg.exe -> avgcsrvx.exe,2296,0,0,1,0
M57-Jean,LEVT-M57-Jean-PROCESS-1204-20091123165512,2009-11-23 16:55:12+00:00,observed,process_start,process_start,1204,iexplore.exe,3180,M57-Jean-MEM-PSLIST-33;M57-Jean-MEM-PSTREE-43,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,33,2009-11-21 01:34:48+00:00,228024.0,0,12.33721055104836,16,0,0,0,1,1,0,1,1,0,1,1,1356.0,avgcsrvx.exe,1,avgcsrvx.exe -> iexplore.exe,3180,0,0,0,1
M57-Jean,LEVT-M57-Jean-PROCESS-208-20091123165519,2009-11-23 16:55:19+00:00,observed,process_start,process_start,208,msimn.exe,1944,M57-Jean-MEM-PSLIST-34;M57-Jean-MEM-PSTREE-41,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,34,2009-11-23 16:55:12+00:00,7.0,0,2.0794415416798357,16,0,0,1,0,1,1,0,1,1,0,1,1204.0,iexplore.exe,1,iexplore.exe -> msimn.exe,1944,0,1,1,0
M57-Jean,LEVT-M57-Jean-PROCESS-2840-20091123170451,2009-11-23 17:04:51+00:00,observed,process_start,process_start,2840,iexplore.exe,3180,M57-Jean-MEM-PSLIST-36;M57-Jean-MEM-PSTREE-45,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,35,2009-11-23 16:55:19+00:00,572.0,0,6.35088571671474,17,0,0,0,1,1,0,1,1,0,1,1,208.0,msimn.exe,1,msimn.exe -> iexplore.exe,3180,0,0,0,1
M57-Jean,LEVT-M57-Jean-PROCESS-3992-20091123170451,2009-11-23 17:04:51+00:00,observed,process_start,process_start,3992,iexplore.exe,3180,M57-Jean-MEM-PSLIST-35;M57-Jean-MEM-PSTREE-44,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,36,2009-11-23 17:04:51+00:00,0.0,0,0.0,17,0,0,1,0,1,1,0,1,1,0,1,2840.0,iexplore.exe,0,iexplore.exe -> iexplore.exe,3180,1,1,1,0
M57-Jean,LEVT-M57-Jean-PROCESS-4028-20091123171439,2009-11-23 17:14:39+00:00,observed,process_start,process_start,4028,iexplore.exe,3180,M57-Jean-MEM-PSLIST-37;M57-Jean-MEM-PSTREE-46,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,37,2009-11-23 17:04:51+00:00,588.0,0,6.3784261836515865,17,0,0,0,0,0,0,0,0,0,0,0,3992.0,iexplore.exe,0,iexplore.exe -> iexplore.exe,3180,0,0,0,1
M57-Jean,LEVT-M57-Jean-PROCESS-3196-20091123182209,2009-11-23 18:22:09+00:00,observed,process_start,process_start,3196,avgsrmax.exe,1664,M57-Jean-MEM-PSLIST-38;M57-Jean-MEM-PSTREE-12,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,38,2009-11-23 17:14:39+00:00,4050.0,0,8.30671904320269,18,0,0,0,0,0,0,0,0,0,0,0,4028.0,iexplore.exe,1,iexplore.exe -> avgsrmax.exe,1664,0,0,0,1
M57-Jean,LEVT-M57-Jean-PROCESS-2892-20091123220335,2009-11-23 22:03:35+00:00,observed,process_start,process_start,2892,firefox.exe,1944,M57-Jean-MEM-PSLIST-39;M57-Jean-MEM-PSTREE-37,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,39,2009-11-23 18:22:09+00:00,13286.0,0,9.494541392591309,22,0,1,0,0,0,0,0,0,0,0,0,3196.0,avgsrmax.exe,1,avgsrmax.exe -> firefox.exe,1944,0,0,0,1
M57-Jean,LEVT-M57-Jean-PROCESS-2576-20091123220845,2009-11-23 22:08:45+00:00,observed,process_start,process_start,2576,iexplore.exe,176,M57-Jean-MEM-PSLIST-40;M57-Jean-MEM-PSTREE-47,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,40,2009-11-23 22:03:35+00:00,310.0,0,5.739792912179234,22,0,1,0,0,0,0,0,0,0,0,0,2892.0,firefox.exe,1,firefox.exe -> iexplore.exe,176,0,0,0,1
M57-Jean,LEVT-M57-Jean-PROCESS-2080-20091123221633,2009-11-23 22:16:33+00:00,observed,process_start,process_start,2080,swriter.exe,1944,M57-Jean-MEM-PSLIST-41;M57-Jean-MEM-PSTREE-31,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,41,2009-11-23 22:08:45+00:00,468.0,0,6.150602768446279,22,0,1,0,2,2,0,2,2,0,2,2,2576.0,iexplore.exe,1,iexplore.exe -> swriter.exe,1944,0,0,0,1
M57-Jean,LEVT-M57-Jean-PROCESS-3908-20091123221634,2009-11-23 22:16:34+00:00,observed,process_start,process_start,3908,soffice.exe,2080,M57-Jean-MEM-PSLIST-42;M57-Jean-MEM-PSTREE-32,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,42,2009-11-23 22:16:33+00:00,1.0,0,0.6931471805599453,22,0,1,1,1,2,1,1,2,1,1,2,2080.0,swriter.exe,1,swriter.exe -> soffice.exe,2080,1,1,1,0
M57-Jean,LEVT-M57-Jean-PROCESS-3560-20091123221635,2009-11-23 22:16:35+00:00,observed,process_start,process_start,3560,soffice.bin,3908,M57-Jean-MEM-PSLIST-43;M57-Jean-MEM-PSTREE-33,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,43,2009-11-23 22:16:34+00:00,1.0,0,0.6931471805599453,22,0,1,2,0,2,2,0,2,2,0,2,3908.0,soffice.exe,1,soffice.exe -> soffice.bin,3908,1,1,1,0
M57-Jean,LEVT-M57-Jean-PROCESS-2308-20091123225441,2009-11-23 22:54:41+00:00,observed,process_start,process_start,2308,avgcmgr.exe,1664,M57-Jean-MEM-PSLIST-44;M57-Jean-MEM-PSTREE-7,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,44,2009-11-23 22:16:35+00:00,2286.0,0,7.734996194022781,22,0,1,0,0,0,0,0,0,0,0,0,3560.0,soffice.bin,1,soffice.bin -> avgcmgr.exe,1664,0,0,0,1
M57-Jean,LEVT-M57-Jean-PROCESS-2004-20091123235245,2009-11-23 23:52:45+00:00,observed,process_start,process_start,2004,avgcmgr.exe,1664,M57-Jean-MEM-PSLIST-45;M57-Jean-MEM-PSTREE-9,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,45,2009-11-23 22:54:41+00:00,3484.0,0,8.156223323194624,23,0,1,0,0,0,0,0,0,0,0,0,2308.0,avgcmgr.exe,0,avgcmgr.exe -> avgcmgr.exe,1664,0,0,0,1
M57-Jean,LEVT-M57-Jean-PROCESS-620-20091123235925,2009-11-23 23:59:25+00:00,observed,process_start,process_start,620,cmd.exe,1944,M57-Jean-MEM-PSLIST-46;M57-Jean-MEM-PSTREE-38,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,46,2009-11-23 23:52:45+00:00,400.0,0,5.993961427306569,23,0,1,0,0,0,0,0,0,0,0,0,2004.0,avgcmgr.exe,1,avgcmgr.exe -> cmd.exe,1944,0,0,0,1
M57-Jean,LEVT-M57-Jean-PROCESS-2992-20091124000124,2009-11-24 00:01:24+00:00,observed,process_start,process_start,2992,mdd_1.3.exe,620,M57-Jean-MEM-PSLIST-47;M57-Jean-MEM-PSTREE-39,2,Volatility 3 windows.pstree from M57-Jean memory image | Volatility 3 windows.pslist from M57-Jean memory image,47,2009-11-23 23:59:25+00:00,119.0,0,4.787491742782046,0,1,1,0,0,0,0,0,0,0,0,0,620.0,cmd.exe,1,cmd.exe -> mdd_1.3.exe,620,0,0,1,0
